ADEP_STUDY,ADES_STUDY,DEPS
EDDF,SBCT,88
EDDF,SBGL,204
EDDF,SBGR,724
EDDF,SBKP,110
EDDM,OTHER_BRA,1
EDDM,SBBR,1
EDDM,SBGR,64
EGLL,SBGL,360
EGLL,SBGR,756
EHAM,OTHER_BRA,1
EHAM,SBCF,1
EHAM,SBGL,352
EHAM,SBGR,377
EHAM,SBKP,1
LEBL,OTHER_BRA,6
LEBL,SBBR,1
LEBL,SBGL,1
LEBL,SBGR,237
LEBL,SBPA,1
LEMD,OTHER_BRA,13
LEMD,SBBR,5
LEMD,SBGL,231
LEMD,SBGR,1788
LEMD,SBKP,141
LEMD,SBPA,1
LEMD,SBRF,85
LEMD,SBSV,172
LFPG,OTHER_BRA,204
LFPG,SBGL,438
LFPG,SBGR,1075
LFPG,SBSV,160
LGAV,OTHER_BRA,3
LGAV,SBBR,1
LGAV,SBGL,2
LGAV,SBGR,3
LPPT,OTHER_BRA,1184
LPPT,SBBR,319
LPPT,SBCF,345
LPPT,SBEG,10
LPPT,SBGL,610
LPPT,SBGR,1512
LPPT,SBKP,643
LPPT,SBPA,119
LPPT,SBRF,565
LPPT,SBSV,348
LSZH,OTHER_BRA,7
LSZH,SBCF,3
LSZH,SBGL,1
LSZH,SBGR,362
LSZH,SBRF,1
LTFM,SBGR,591
OTHER_EUR,OTHER_BRA,238
OTHER_EUR,SBBR,20
OTHER_EUR,SBCF,15
OTHER_EUR,SBCT,12
OTHER_EUR,SBEG,1
OTHER_EUR,SBGL,580
OTHER_EUR,SBGR,1668
OTHER_EUR,SBKP,546
OTHER_EUR,SBPA,4
OTHER_EUR,SBRF,95
OTHER_EUR,SBSV,9
