APT,DATE,PHASE,N_VALID,N_VALID_MONTH,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBBR,2024-01-01,ARR,53792,4361,0,0,0,0,0,1,2,8,20,16,24,14,13,4,3,1,1,0,1,2,0,1,0,0,0,0
SBBR,2024-01-01,DEP,53792,4305,0,0,0,0,0,0,0,0,0,2,10,44,32,4,7,3,2,0,1,2,0,0,1,0,0,1
SBBR,2024-01-02,ARR,53792,4361,0,0,0,0,0,0,2,10,13,18,20,11,12,11,8,3,6,7,8,5,1,1,3,1,0,3
SBBR,2024-01-02,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,11,37,39,9,5,5,5,2,2,4,3,0,1,1,0,4
SBBR,2024-01-03,ARR,53792,4361,0,0,0,0,0,1,2,3,7,9,28,21,13,15,9,9,6,4,4,1,1,2,1,3,0,4
SBBR,2024-01-03,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,4,22,34,15,10,13,14,10,10,4,7,4,2,1,2,6
SBBR,2024-01-04,ARR,53792,4361,0,0,0,0,1,1,1,3,9,9,27,19,12,8,12,12,8,5,2,2,5,2,1,4,0,0
SBBR,2024-01-04,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,8,34,38,18,16,10,2,3,1,3,1,0,1,0,4,2
SBBR,2024-01-05,ARR,53792,4361,0,0,0,0,0,1,1,5,11,11,28,22,13,12,11,8,7,3,2,1,0,2,0,0,0,6
SBBR,2024-01-05,DEP,53792,4305,0,0,0,0,0,0,0,0,0,1,2,14,51,21,10,10,4,4,2,3,3,3,1,3,0,4
SBBR,2024-01-06,ARR,53792,4361,0,0,0,0,0,2,3,6,11,11,21,17,8,15,8,4,2,3,4,2,1,0,2,1,0,3
SBBR,2024-01-06,DEP,53792,4305,0,0,0,0,0,0,0,0,1,0,6,22,39,14,10,2,4,7,2,1,2,0,0,1,0,1
SBBR,2024-01-07,ARR,53792,4361,0,0,0,0,0,0,1,7,12,7,20,14,18,9,6,6,5,2,3,2,3,2,2,1,1,4
SBBR,2024-01-07,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,3,25,35,18,10,8,8,3,2,3,1,2,2,0,2,5
SBBR,2024-01-08,ARR,53792,4361,0,0,0,0,0,0,0,6,9,10,28,19,11,8,16,9,2,7,4,3,1,0,2,0,1,5
SBBR,2024-01-08,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,4,24,39,18,7,9,8,8,6,2,7,5,0,2,0,11
SBBR,2024-01-09,ARR,53792,4361,0,0,0,0,0,0,0,8,7,18,20,21,9,11,5,8,10,3,4,5,4,3,2,2,0,5
SBBR,2024-01-09,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,4,24,35,25,11,11,5,4,3,1,0,2,0,0,2,3
SBBR,2024-01-10,ARR,53792,4361,0,0,0,0,0,1,0,3,7,14,19,8,18,16,10,6,5,6,3,0,6,0,5,2,3,14
SBBR,2024-01-10,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,1,16,40,26,12,9,2,2,5,2,4,2,2,3,2,12
SBBR,2024-01-11,ARR,53792,4361,0,0,0,0,0,0,3,4,8,11,26,23,19,8,12,7,4,5,2,1,1,1,0,0,1,4
SBBR,2024-01-11,DEP,53792,4305,0,0,0,0,0,0,0,0,0,1,6,23,46,24,11,6,1,4,3,0,1,0,1,0,2,5
SBBR,2024-01-12,ARR,53792,4361,0,0,0,1,0,0,0,7,11,23,28,19,15,10,7,6,0,4,3,0,0,0,2,0,2,6
SBBR,2024-01-12,DEP,53792,4305,0,0,0,0,0,0,0,0,0,1,4,31,37,22,7,9,3,3,1,4,0,1,1,0,1,4
SBBR,2024-01-13,ARR,53792,4361,0,0,0,0,0,0,2,3,10,16,26,16,11,8,6,7,1,5,2,1,1,2,1,0,0,8
SBBR,2024-01-13,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,5,33,37,21,8,7,4,2,4,1,4,0,1,0,3,6
SBBR,2024-01-14,ARR,53792,4361,0,0,0,0,0,1,2,6,11,18,21,18,11,11,9,4,4,2,1,1,1,0,2,0,2,4
SBBR,2024-01-14,DEP,53792,4305,0,0,0,0,0,0,0,0,0,0,2,31,33,23,16,6,6,1,1,0,1,1,2,2,1,2
