year_n,iso,country_en,score,rank,political_context,rank_pol,economic_context,rank_eco,legal_context,rank_leg,social_context,rank_soc,safety,rank_saf,zone,rank_n_1,rank_evolution,score_n_1,score_evolution
2025,AFG,Afghanistan,17.88,175,17.78,163,25.1,165,11.43,178,18.92,175,16.16,175,Asie-Pacifique,178,3,19.09,-1.2100000000000009
2025,ALB,Albania,58.18,80,38.62,119,31.69,147,69.51,53,65.85,68,85.21,70,UE Balkans,99,19,54.1,4.079999999999998
2025,DZA,Algeria,44.64,126,38.9,116,32.29,144,48.03,125,46.3,129,57.68,114,MENA,139,13,41.98,2.6600000000000037
2025,AND,Andorra,63.3,65,56.13,57,39.1,105,67.39,68,61.48,84,92.41,21,UE Balkans,72,7,61.44,1.8599999999999994
2025,AGO,Angola,52.67,100,38.68,118,30.25,155,56.94,101,63.82,76,73.66,98,Afrique,104,4,52.44,0.23000000000000398
2025,ARG,Argentina,56.14,87,38.91,115,35.49,122,71.81,48,55.85,105,78.64,89,Amériques,66,-21,63.13,-6.990000000000002
2025,ARM,Armenia,73.96,34,65.21,33,52.02,48,84.13,14,76.76,36,91.67,26,EEAC,43,9,71.6,2.3599999999999994
2025,AUS,Australia,75.15,29,77.97,21,63.25,25,68.78,59,74.52,47,91.21,30,Asie-Pacifique,39,10,73.42,1.730000000000004
2025,AUT,Austria,78.12,22,72.59,24,64.73,23,81.97,20,78.77,30,92.55,19,UE Balkans,32,10,74.69,3.430000000000007
2025,AZE,Azerbaijan,25.47,167,17.44,164,16.15,175,35.02,154,30.2,164,28.57,160,EEAC,164,-3,27.99,-2.5199999999999996
2025,BHR,Bahrain,30.24,157,25.38,151,24.74,167,26.65,163,30.34,163,44.1,131,MENA,173,16,23.21,7.029999999999998
2025,BGD,Bangladesh,33.71,149,29.03,145,33.79,134,36.71,150,39.87,144,29.17,159,Asie-Pacifique,165,16,27.64,6.07
2025,BLR,Belarus,25.73,166,13.27,174,36.14,117,19.04,172,36.65,149,23.52,171,EEAC,167,1,26.8,-1.0700000000000003
2025,BEL,Belgium,80.12,18,79.16,19,69.15,14,79.9,31,81.8,18,90.58,37,UE Balkans,16,-2,81.49,-1.3699999999999903
2025,BLZ,Belize,68.32,47,53.15,64,48.25,61,63.99,77,81.36,21,94.83,6,Amériques,54,7,66.85,1.4699999999999989
2025,BEN,Benin,54.6,92,40.69,108,35.99,121,55.21,108,65.55,70,75.58,97,Afrique,89,-3,56.73,-2.1299999999999955
2025,BTN,Bhutan,32.62,152,20.63,161,22.34,170,20.95,169,19.16,174,80,83,Asie-Pacifique,147,-5,37.29,-4.670000000000002
2025,BOL,Bolivia,54.09,93,34.87,131,37.3,111,62.41,87,63.06,78,72.8,99,Amériques,124,31,48.88,5.210000000000001
2025,BIH,Bosnia-Herzegovina,56.33,86,45.74,89,37.91,108,67.46,67,61.4,85,69.16,105,UE Balkans,81,-5,58.85,-2.520000000000003
2025,BWA,Botswana,57.64,81,50.93,71,39.18,103,54.05,112,68.18,59,75.87,96,Afrique,79,-2,59.78,-2.1400000000000006
2025,BRA,Brazil,63.8,63,61.52,43,47.29,66,66.81,71,61.3,86,82.11,78,Amériques,82,19,58.59,5.209999999999994
2025,BRN,Brunei,53.47,97,46.03,88,48.19,63,43.58,138,43.7,137,85.85,65,Asie-Pacifique,117,20,50.09,3.3799999999999955
2025,BGR,Bulgaria,60.78,70,50.62,73,40.26,97,67.71,66,59.1,94,86.22,61,UE Balkans,59,-11,65.32,-4.539999999999992
2025,BFA,Burkina Faso,52.25,105,41.9,102,50.38,55,59.41,95,62.75,80,46.82,126,Afrique,86,-19,58.24,-5.990000000000002
2025,BDI,Burundi,45.44,125,41.98,101,38.61,106,47.86,126,50.35,121,48.39,123,Afrique,108,-17,51.78,-6.340000000000003
2025,CPV,Cabo Verde,74.98,30,72.56,25,54.34,43,77.47,36,76.47,39,94.06,10,Afrique,41,11,72.77,2.210000000000008
2025,KHM,Cambodia,28.18,161,17.42,165,23.79,168,35.47,153,29.3,166,34.92,150,Asie-Pacifique,151,-10,34.28,-6.100000000000001
2025,CMR,Cameroon,42.75,131,41.11,107,32.84,141,49.36,121,57.39,99,33.04,153,Afrique,130,-1,44.95,-2.200000000000003
2025,CAN,Canada,78.75,21,82.97,14,63.27,24,81.73,22,78.11,33,87.66,55,Amériques,14,-7,81.7,-2.950000000000003
2025,CAF,Central African Republic,60.15,72,50.68,72,40.79,94,65.16,73,67.3,61,76.82,93,Afrique,76,4,60.12,0.030000000000001137
2025,TCD,Chad,51.89,108,48.67,80,43.75,78,59.1,96,64.5,74,43.4,138,Afrique,96,-12,54.81,-2.9200000000000017
